+201654324321,+201649154514,2,2,11:09:37,0
+201654324321,+201667809035,2,1,08:15:23,0
+201654324321,+201649177767,2,1,13:15:27,0
+201654324321,+201622334408,1,150,13:27:27,0
+201654324321,+201649154514,1,51,15:21:37,0
+201654324321,+201611111166,1,18,09:10:35,0
+201654324321,+201667809035,1,168,21:56:57,0
+201654324321,+201612121212,2,1,16:28:49,0
+201654324321,+201620491910,1,128,08:37:55,0
+201654324321,+201649177767,2,3,14:48:37,0
+201654324321,+4169765400,1,50,13:46:27,0
+201654324321,+201649195501,1,94,22:50:33,0
+201654324321,+201649191518,2,3,20:23:42,0
+201654324321,+201695959930,1,114,17:45:27,0
+201654324321,+201667809035,1,53,16:06:16,0
+201654324321,+201645454532,2,2,17:29:10,0
+201654324321,+201611111166,1,82,15:59:03,0
+201654324321,+201649195501,1,68,21:21:05,0
+201654324321,+201687654325,2,3,19:49:44,0
+201654324321,+201604919109,1,78,08:05:08,0
+201654324321,+5382080072,1,0,08:16:34,0
+201654324321,+201612121212,2,3,15:32:17,0
+201654324321,+201649191518,2,3,16:22:19,0
+201654324321,+201649177767,1,118,20:45:05,0
+201654324321,+201649195501,1,127,14:17:50,0
+201654324321,+201611223320,2,3,22:28:58,0
+201654324321,+201611223320,1,131,09:56:50,0
+201654324321,+201612121212,2,3,16:18:09,0
+201654324321,+201611111166,2,1,15:26:36,0
+201654324321,+201649191518,1,80,10:57:05,0
+201654324321,+201645378903,1,68,15:38:22,0
+201654324321,+201649191518,1,66,13:01:00,0
+201654324321,+201622334408,1,175,08:29:06,0
+201654324321,+201664565811,2,1,15:17:46,0
+201654324321,+201687654325,2,2,05:13:04,0
+201654324321,+201611111113,1,59,11:41:34,0
+201654324321,+201611223320,2,1,15:21:37,0
+201654324321,+201656789028,2,1,16:57:16,0
+201654324321,+201645378903,2,2,17:07:47,0
+201654324321,+201687654325,2,1,10:46:21,0
+201654324321,+201611111166,2,1,15:28:27,0
+201654324321,+201620491910,2,2,16:37:50,0
+201654324321,+6681172604,1,0,18:31:37,0
+201654324321,+201612789009,2,2,21:02:38,0
+201654324321,+201649177767,2,1,22:58:23,0
+201654324321,+201667809035,1,96,08:31:43,0
+201654324321,+201620491910,2,3,09:44:48,0
+201654324321,+201611111113,1,19,14:11:25,0
+201654324321,+3758996590,1,0,14:39:44,0
+201654324321,+201622334408,2,2,15:22:23,0
+201654324321,+201604919109,2,1,00:22:24,0
+201654324321,+201622334408,2,3,01:05:13,0
+201654324321,+201656789028,2,2,16:10:49,0
+201654324321,+201645454532,2,3,17:44:17,0
+201654324321,+201604919109,1,92,23:24:23,0
+201654324321,+201695959930,2,3,17:27:24,0
+201654324321,+201649191518,1,19,22:57:21,0
+201654324321,+201611111166,1,28,20:49:08,0
+201654324321,+201611223320,1,76,18:16:13,0
+201654324321,+201656789028,2,2,10:21:48,0
+201654324321,+201649191518,1,170,14:56:27,0
+201654324321,+201611111166,1,17,16:14:03,0
+201654324321,+201611111113,1,62,22:18:53,0
+201654324321,+201695959930,1,24,09:25:20,0
+201654324321,+201695959930,1,152,16:51:50,0
+201654324321,+201649195501,2,2,06:42:43,0
+201654324321,+201611111166,2,1,20:21:36,0
+201654324321,+8344575858,1,0,20:14:17,0
+201654324321,+201664565811,2,2,15:44:44,0
+201654324321,+201667809035,2,3,11:46:15,0
+201654324321,+201604912015,1,132,15:12:41,0
+201654324321,+201620491910,1,75,22:15:51,0
+201654324321,+201649195501,1,56,06:41:14,0
+201654324321,+201611223320,2,3,16:17:24,0
+201654324321,+201645378903,2,1,13:31:38,0
+201654324321,+201622334408,2,1,08:27:37,0
+201654324321,+201611223320,2,2,21:35:22,0
+201654324321,+201649154514,1,150,01:11:46,0
+201654324321,+201604912015,1,42,18:50:54,0
+201654324321,+201604912015,1,166,20:41:54,0
+201654324321,+201667809035,2,2,20:22:52,0
+201654324321,+201604912015,1,162,21:49:13,0
+201654324321,+201645378903,2,3,20:40:29,0
+201654324321,+201667809035,1,97,00:34:17,0
+201654324321,+201656789028,2,1,09:41:46,0
+201654324321,+201611111113,2,3,14:00:57,0
+201654324321,+201695959930,1,89,14:15:59,0
+201654324321,+201612789009,1,177,22:19:40,0
+201654324321,+201604919109,1,20,09:56:28,0
+201654324321,+201612121212,1,123,18:06:24,0
+201654324321,+201604912015,2,2,23:53:38,0
+201654324321,+201687654325,1,177,09:36:20,0
+201654324321,+201649154514,2,2,10:50:56,0
+201654324321,+201604919109,1,179,22:22:10,0
+201654324321,+3057433275,1,0,14:21:08,0
+201654324321,+201695959930,2,2,15:28:35,0
+201654324321,+201620491910,2,3,20:24:21,0
+201654324321,+201645378903,1,115,13:23:44,0
+201654324321,+201604912015,1,172,08:56:02,0
+201654324321,+201687654325,1,176,22:36:28,0
+201654324321,+201611223320,2,1,08:25:12,0
+201654324321,+201604912015,2,2,17:52:19,0
+201654324321,+201645378903,2,3,20:07:30,0
+201654324321,+201695959930,2,2,17:34:07,0
+201654324321,+201604912015,1,47,13:38:35,0
+201654324321,+201611223320,1,118,13:49:18,0
+201654324321,+201612121212,2,2,14:35:59,0
